bin_lower,height,linear_eta,nbins,direction,speed,u,v,rmse,elev1,nvolumes_gr35_e1,elev2,nvolumes_gr35_e2,vcp,linear_eta_unfiltered,percent_rain
0,50,851.2421,29911,36.8916,9.1082,5.4677,7.2845,12.5202,0.3646,216,1.3329,0,21,852.3826,5.955744e-03
100,150,212.6159,49823,44.6877,14.4428,10.1568,10.2681,11.5492,0.3646,216,1.3329,0,21,213.7921,1.159383e-01
200,250,90.3276,50895,51.3721,15.0670,11.7706,9.4057,10.7005,0.3646,216,1.3329,0,21,90.5109,1.204950e-01
300,350,17.6208,48844,49.8614,16.7492,12.8046,10.7972,9.4710,0.3646,216,1.3329,0,21,17.7199,7.398649e-02
400,450,5.0781,47272,46.4898,15.9499,11.5677,10.9813,9.2785,0.3646,216,1.3329,0,21,5.2304,4.837637e-02
500,550,2.4389,46167,45.0916,14.3122,10.1364,10.1040,8.2908,0.3646,216,1.3329,0,21,2.5155,5.491143e-02
600,650,0.6434,43319,45.6629,12.8800,9.2123,9.0016,7.1075,0.3646,216,1.3329,0,21,0.8003,6.170940e-02
700,750,0.4232,41495,42.1304,12.9881,8.7127,9.6323,7.3360,0.3646,216,1.3329,0,21,0.8162,6.038360e-02
800,850,0.3159,41698,43.4298,12.6421,8.6910,9.1810,5.5052,0.3646,216,1.3329,0,21,1.3643,7.059083e-02
900,950,0.2355,39170,44.7375,11.7523,8.2719,8.3481,5.4476,0.3646,216,1.3329,0,21,0.9314,6.292373e-02
1000,1050,0.3000,40908,43.3603,10.2286,7.0228,7.4367,4.5917,0.3646,216,1.3329,0,21,0.4266,2.937158e-02
1100,1150,0.2104,39676,40.9533,11.2128,7.3494,8.4684,5.4117,0.3646,216,1.3329,0,21,1.4535,4.501916e-02
1200,1250,0.2227,27323,35.0069,11.9465,6.8534,9.7851,5.3002,0.3646,216,1.3329,0,21,2.2834,6.937500e-02
1300,1350,0.1707,22951,32.7405,9.4329,5.1016,7.9343,4.3082,0.3646,216,1.3329,0,21,0.7680,5.776144e-02
1400,1450,0.1569,25004,34.0427,9.5812,5.3637,7.9392,4.4771,0.3646,216,1.3329,0,21,0.2618,2.831790e-02
1500,1550,0.1953,23119,37.5433,10.5618,6.4359,8.3743,4.3552,0.3646,216,1.3329,0,21,0.3309,1.595118e-02
1600,1650,0.4151,23882,37.1081,12.4598,7.5173,9.9367,4.4433,0.3646,216,1.3329,0,21,0.5709,1.323529e-02
1700,1750,0.2318,24677,35.5371,14.7780,8.5894,12.0254,4.3088,0.3646,216,1.3329,0,21,1.2554,2.956349e-02
1800,1850,0.1814,23368,34.4731,15.4813,8.7627,12.7627,3.9483,0.3646,216,1.3329,0,21,9.2982,4.558081e-02
1900,1950,0.1822,24172,33.3304,18.6233,10.2329,15.5601,4.6717,0.3646,216,1.3329,0,21,10.1854,5.522876e-02
2000,2050,0.1805,22065,31.4210,20.3482,10.6080,17.3643,5.4440,0.3646,216,1.3329,0,21,10.8237,6.469534e-02
2100,2150,0.1645,24189,27.9266,19.9382,9.3378,17.6164,6.5360,0.3646,216,1.3329,0,21,13.4163,7.463235e-02
2200,2250,0.2526,23466,24.5729,20.8894,8.6869,18.9975,4.8045,0.3646,216,1.3329,0,21,13.6171,7.710438e-02
2300,2350,0.3218,22790,17.6137,23.4256,7.0885,22.3274,4.7315,0.3646,216,1.3329,0,21,17.2558,7.773437e-02
2400,2450,0.2716,22782,15.1603,24.5136,6.4108,23.6604,4.7131,0.3646,216,1.3329,0,21,11.1070,8.789062e-02
2500,2550,0.3912,22792,14.6248,24.7436,6.2475,23.9419,4.2120,0.3646,216,1.3329,0,21,15.3443,8.967014e-02
2600,2650,0.3396,22798,12.5130,25.1020,5.4386,24.5057,3.9274,0.3646,216,1.3329,0,21,20.3833,9.214410e-02
2700,2750,0.3970,22758,11.9406,24.4787,5.0646,23.9490,3.8783,0.3646,216,1.3329,0,21,36.5601,1.240451e-01
2800,2850,0.5372,22070,8.9250,25.4256,3.9446,25.1177,3.2142,0.3646,216,1.3329,0,21,84.5360,1.390681e-01
2900,2950,0.3174,15064,7.2676,27.5444,3.4845,27.3231,2.6201,0.3646,216,1.3329,0,21,48.7868,8.022487e-02
